ccode,year,oof_amt,oof_adj,oda_amt,oda_adj,vof_amt,vof_adj
790,2021,7800000,7800000,141088062.4031008,141088062.4031008,0,0
800,2000,3831800.08773153,3831800.08773153,0,0,0,0
800,2005,78220170.70209089,78220170.70209089,3266201.1911692796,3266201.1911692796,0,0
800,2006,27584040.32780501,27584040.32780501,0,0,0,0
800,2009,0,0,174995.624995896,174995.624995896,0,0
800,2010,3065377770.465262,3065377770.465262,2057480.16946535,2057480.16946535,27791318.24746671,27791318.24746671
800,2011,8301691.22405362,8301691.22405362,8839867.22087885,8839867.22087885,0,0
800,2012,28178965.3902202,28178965.3902202,94482.8965955153,94482.8965955153,14333055.4135396,14333055.4135396
800,2013,538371613.0817125,538371613.0862988,0,0,0,0
800,2015,89276970.7036203,89276970.70558767,0,0,0,0
800,2016,1017517418.6010773,928669217.745372,25097.4234280301,25097.4234280301,0,0
800,2018,106362390.870365,106362390.870365,0,0,0,0
800,2019,16362001.540516,16362001.540516,397596.637434541,397596.637434541,0,0
800,2021,0,0,52547987.59689922,52547987.59689922,0,0
811,2000,70657573.36844221,70657573.36844221,21119516.900167342,21119516.900167342,0,0
811,2006,30479.2362788505,30479.2362788505,64941826.73058083,64941826.73058083,0,0
811,2007,798894977.173134,798894977.173134,36128241.05598717,36128241.05598717,0,0
811,2008,159929063.2124553,159929063.2124553,6144081.2654546695,6144081.2654546695,0,0
811,2009,389302607.8937538,389302607.8937538,387633839.5649684,387633839.5649684,0,0
811,2010,2875458014.657493,2875458014.657493,66861001.125716016,66861001.125716016,0,0
811,2011,210706451.020365,210706451.020365,48217604.74433408,48217604.74433408,0,0
811,2012,1549386379.3524687,1549386379.3524687,66140994.455705695,66140994.455705695,9392988.46340676,9392988.46340676
811,2013,914837643.8146751,914837643.8146751,299260403.5709136,299260403.5709136,0,0
811,2014,718521913.1267188,718521913.1267188,30045537.631880898,30045537.631880898,0,0
811,2015,349273525.3391295,349273525.3391295,194904125.82190102,194904125.82190102,0,0
811,2016,284553222.4354932,284553222.4354932,566589115.3487638,566589115.3487638,83517308.8043629,83517308.8043629
811,2017,298525514.4595514,298525514.4595514,280925938.0288792,280925938.0288792,0,0
811,2018,702738842.5386081,702738842.5386081,65841411.93661565,65841411.93661565,1198834722.66654,1198834722.66654
811,2019,56178230.6131069,56178230.6131069,461521234.3948852,461521234.3948852,1752760795.128936,1752760795.128936
811,2020,1168802410.6699727,1168802410.6699727,167958381.3476864,167958381.3476864,0,0
811,2021,776270500,776270500,125188966.4,125188966.4,0,0
812,2000,89904350.2099748,89904350.2099748,1924842.54659646,1924842.54659646,0,0
812,2001,75436133.0223992,75436133.0223992,0,0,0,0
812,2002,125972527.060983,125972527.060983,178281688.3217578,178281688.3217578,0,0
812,2003,54021736.350224,54021736.350224,26807711.278502505,26807711.278502505,0,0
812,2004,565768787.07664,565768787.07664,420809030.7240521,420809030.7240521,0,0
812,2007,33736207.1790768,33736207.1790768,13295315.922760962,13295315.922760962,0,0
812,2008,383148613.982129,383148613.982129,1372127.329754145,1372127.329754145,121905890.319046,121905890.319046
812,2009,381510552.26179653,381510552.26179653,94112654.4709776,94112654.4709776,180241205.792975,180241205.792975
812,2010,502710478.8542751,502710478.8542751,23258539.8277972,23258539.8277972,0,0
812,2011,687203594.3672842,687203594.3672842,205699.5286790965,205699.5286790965,0,0
812,2012,338269592.4922944,338269592.4922944,410854300.38995224,410854300.38995224,0,0
812,2013,854757353.9713043,854757353.9713043,113119675.80251525,113119675.80251525,0,0
812,2014,2026953053.766199,2026953053.766199,84831554.36161768,84831554.36161768,523881058.939007,523881058.939007
812,2015,1563893282.3383753,1563893282.3383753,549435.6123034136,549435.6123034136,0,0
